Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C2, C5, C6, C8",C_Disc_D4.3mm_W1.9mm_P5.00mm,7,100 nF,
C11,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,330 nF,
"C3, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,22 pF,
C7,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,10 uF,
C9,CP_Radial_D5.0mm_P2.00mm,1,10 uF,
D1,LED_D3.0mm,1,Pin 13,
D2,LED_D3.0mm,1,Power,
J1,PinSocket_1x08_P2.54mm_Vertical,1,Power,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Digital/PWM,
J3,PinSocket_1x06_P2.54mm_Vertical,1,Analog,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Digital/PWM,
J5,PinSocket_1x06_P2.54mm_Horizontal,1,FTDI,
J6,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J7,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10 K,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1 K,
SW1,SW_PUSH_6mm,1,Reset,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,DIP-28_W7.62mm,1,ATmega328P-P,
U3,TO-220-3_Horizontal_TabDown,1,L7805CV,L7805CV
Y1,Crystal_HC49-U_Vertical,1,8 MHz,
