Designator,Mid X,Mid Y,Rotation,Layer
C1,53.514,5.842,180.0,top
C10,26.63,5.588,180.0,top
C11,23.114,18.288,90.0,top
C12,25.908,24.892,270.0,top
C2,61.428,18.542,180.0,top
C3,45.934,24.13,180.0,top
C4,33.608,24.13,0.0,top
C5,41.188,5.842,0.0,top
C6,46.816,18.542,0.0,top
C7,24.598,2.794,180.0,top
C8,14.01,5.588,0.0,top
C9,16.957113,11.684,180.0,top
D1,56.642,44.958,0.0,top
D2,54.102,44.958,180.0,top
J1,27.94,2.54,90.0,top
J2,18.796,50.8,90.0,top
J3,50.8,2.54,90.0,top
J4,45.72,50.8,90.0,top
J5,40.132,42.164,0.0,top
J6,10.572,7.6708,0.0,top
J7,63.627,30.48,0.0,top
R1,51.308,21.336,0.0,top
R2,65.786,11.43,90.0,top
R3,60.452,39.624,180.0,top
SW1,8.128,47.244,180.0,top
U1,22.86,11.684,90.0,top
U2,61.468,16.002,270.0,top
U3,20.066,18.034,90.0,top
Y1,37.428,20.066,0.0,top
